,Codi_Barri,Codi_Districte,AEB,Seccio_Censal,Valor,SEXE
244,26,5.0,107.19354838709677,5064.0,47819.0,1.5
245,27,5.0,111.89473684210526,5089.0,29590.0,1.5
246,28,6.0,115.18181818181819,6006.636363636364,15985.0,1.5
247,29,6.0,118.0,6015.0,7460.0,1.5
248,30,6.0,119.6,6022.5,13260.0,1.5
249,31,6.0,125.5,6045.5,50421.0,1.5
250,32,6.0,132.48,6076.0,34663.0,1.5
251,33,7.0,135.89473684210526,7010.0,25793.0,1.5
252,34,7.0,138.0,7023.0,9071.0,1.5
253,35,7.0,140.96,7039.0,36890.0,1.5
254,36,7.0,144.57142857142858,7055.0,9446.0,1.5
255,37,7.0,147.36363636363637,7069.5,31832.0,1.5
256,38,7.0,149.0,7084.5,11650.0,1.5
257,39,7.0,150.0,7091.0,7011.0,1.5
258,40,7.0,151.0,7095.5,5099.0,1.5
259,41,7.0,152.0,7099.5,5737.0,1.5
260,42,7.0,153.0,7102.0,657.0,1.5
261,43,7.0,154.8095238095238,7113.0,26867.0,1.5
262,44,8.0,158.3684210526316,8010.0,25675.0,1.5
263,45,8.0,162.0,8028.5,25568.0,1.5
264,46,8.0,164.4,8042.5,15575.0,1.5
265,47,8.0,166.0,8048.5,2270.0,1.5
266,48,8.0,167.36363636363637,8069.090909090909,15293.0,1.5
267,49,8.0,169.0,8062.0,6885.0,1.5
268,50,8.0,170.5,8069.5,15764.0,1.5
269,51,8.0,172.625,8078.5,12445.0,1.5
270,52,8.0,175.7,8092.5,26572.0,1.5
271,53,8.0,178.0,8105.0,7365.0,1.5
272,54,8.0,179.0,8108.5,2893.0,1.5
273,55,8.0,180.0,8112.5,10622.0,1.5
274,56,8.0,181.0,8116.0,1400.0,1.5
275,57,9.0,182.0,9003.0,10071.0,1.5
276,58,9.0,183.0,9006.5,2535.0,1.5
277,59,9.0,184.71428571428572,9011.42857142857,12740.0,1.5
278,60,9.0,189.23076923076923,9035.0,57662.0,1.5
279,61,9.0,194.5,9068.6,29290.0,1.5
280,62,9.0,197.55555555555554,9078.0,14196.0,1.5
281,63,9.0,199.46153846153845,9089.0,22159.0,1.5
282,64,10.0,202.64,10013.0,38327.0,1.5
283,65,10.0,205.88235294117646,10045.29411764706,27050.0,1.5
284,66,10.0,208.77777777777777,10046.0,15425.0,1.5
285,67,10.0,210.2,10053.0,9312.0,1.5
286,68,10.0,213.85,10065.5,33986.0,1.5
287,69,10.0,216.71428571428572,10123.0,13644.0,1.5
288,70,10.0,220.3846153846154,10087.0,23721.0,1.5
289,71,10.0,224.25,10110.5,20628.0,1.5
290,72,10.0,227.27777777777777,10113.5,26092.0,1.5
291,73,10.0,231.23809523809524,10133.0,28814.0,1.5
292,1,1.0,4.523809523809524,1011.0,48210.0,1.5
293,2,1.0,10.444444444444445,1026.7777777777778,19180.0,1.5
294,3,1.0,14.272727272727273,1037.0,15173.0,1.5
295,4,1.0,17.384615384615383,1049.0,23170.0,1.5
296,5,2.0,20.9,2010.5,32738.0,1.5
297,6,2.0,25.11764705882353,2037.5,51917.0,1.5
298,7,2.0,30.93103448275862,2069.0,44189.0,1.5
299,8,2.0,40.15384615384615,2096.5,43039.0,1.5
300,9,2.0,46.65,2129.5,58668.0,1.5
301,10,2.0,52.666666666666664,2161.5,38622.0,1.5
302,11,3.0,57.0,3012.5,40440.0,1.5
303,12,3.0,60.0,3025.0,1199.0,1.5
304,13,3.0,62.23529411764706,3064.176470588235,31087.0,1.5
305,14,3.0,65.0,3043.0,10373.0,1.5
306,15,3.0,66.6,3051.5,16155.0,1.5
307,16,3.0,68.61538461538461,3063.0,19443.0,1.5
308,17,3.0,70.3125,3077.5,24474.0,1.5
309,18,3.0,73.79310344827586,3100.0,42310.0,1.5
310,19,4.0,79.74285714285715,4018.0,46599.0,1.5
311,20,4.0,85.73333333333333,4045.266666666667,23992.0,1.5
312,21,4.0,88.85714285714286,4053.0,12000.0,1.5
313,22,5.0,91.66666666666667,5002.0,4727.0,1.5
314,23,5.0,95.0625,5011.5,25137.0,1.5
315,24,5.0,98.36363636363636,5025.0,16695.0,1.5
316,25,5.0,102.05555555555556,5039.5,26108.0,1.5
317,26,5.0,107.19354838709677,5064.0,47993.0,1.5
318,27,5.0,111.89473684210526,5089.0,29786.0,1.5
319,28,6.0,115.18181818181819,6006.636363636364,16109.0,1.5
320,29,6.0,118.0,6015.0,7518.0,1.5
321,30,6.0,119.6,6022.5,13431.0,1.5
322,31,6.0,125.5,6045.5,50803.0,1.5
323,32,6.0,132.48,6076.0,35199.0,1.5
324,33,7.0,135.89473684210526,7010.0,25990.0,1.5
325,34,7.0,138.0,7023.0,9247.0,1.5
326,35,7.0,140.96,7039.0,37216.0,1.5
327,36,7.0,144.57142857142858,7055.0,9506.0,1.5
328,37,7.0,147.36363636363637,7069.5,32175.0,1.5
329,38,7.0,149.0,7084.5,11789.0,1.5
330,39,7.0,150.0,7091.0,7246.0,1.5
331,40,7.0,151.0,7095.5,5126.0,1.5
332,41,7.0,152.0,7099.5,5803.0,1.5
333,42,7.0,153.0,7102.0,686.0,1.5
334,43,7.0,154.8095238095238,7113.0,27482.0,1.5
335,44,8.0,158.3684210526316,8010.0,25895.0,1.5
336,45,8.0,162.0,8028.5,26557.0,1.5
337,46,8.0,164.4,8042.5,15783.0,1.5
338,47,8.0,166.0,8048.5,2289.0,1.5
