,Codi_Barri,Any,Codi_Districte,Seccio_Censal,Index_Gini
114,42,2016.0,7.0,102.0,30.8
115,43,2016.0,7.0,113.0,30.804761904761904
116,44,2016.0,8.0,10.0,31.04736842105263
117,45,2016.0,8.0,28.5,30.772222222222222
118,46,2016.0,8.0,42.5,31.639999999999997
119,47,2016.0,8.0,48.5,33.900000000000006
120,48,2016.0,8.0,69.0909090909091,26.60909090909091
121,49,2016.0,8.0,62.0,25.660000000000004
122,50,2016.0,8.0,69.5,32.0
123,51,2016.0,8.0,78.5,31.675
124,52,2016.0,8.0,92.5,29.985000000000003
125,53,2016.0,8.0,105.0,31.4
126,54,2016.0,8.0,108.5,32.25
127,55,2016.0,8.0,112.5,34.11666666666667
128,56,2016.0,8.0,116.0,32.3
129,57,2016.0,9.0,3.0,32.7
130,58,2016.0,9.0,6.5,32.2
131,59,2016.0,9.0,11.428571428571429,30.214285714285715
132,60,2016.0,9.0,35.0,29.025641025641026
133,61,2016.0,9.0,68.6,30.325
134,62,2016.0,9.0,78.0,31.433333333333337
135,63,2016.0,9.0,89.0,31.26153846153846
136,64,2016.0,10.0,13.0,32.751999999999995
137,65,2016.0,10.0,45.294117647058826,31.423529411764708
138,66,2016.0,10.0,46.0,33.077777777777776
139,67,2016.0,10.0,53.0,34.06
140,68,2016.0,10.0,65.5,32.945
141,69,2016.0,10.0,123.0,32.58571428571428
142,70,2016.0,10.0,87.0,31.1
143,71,2016.0,10.0,110.5,30.849999999999998
144,72,2016.0,10.0,113.5,28.305555555555557
145,73,2016.0,10.0,133.0,28.366666666666667
146,1,2017.0,1.0,11.0,35.44761904761905
147,2,2017.0,1.0,26.77777777777778,40.922222222222224
148,3,2017.0,1.0,37.0,34.82727272727273
149,4,2017.0,1.0,49.0,39.0
150,5,2017.0,2.0,10.5,33.730000000000004
151,6,2017.0,2.0,37.5,33.938235294117646
152,7,2017.0,2.0,69.0,38.06551724137931
153,8,2017.0,2.0,96.5,37.2
154,9,2017.0,2.0,129.5,34.542500000000004
155,10,2017.0,2.0,161.5,34.69166666666667
156,11,2017.0,3.0,12.5,34.06666666666667
157,12,2017.0,3.0,25.0,30.5
158,13,2017.0,3.0,64.17647058823529,28.88823529411765
159,14,2017.0,3.0,43.0,32.028571428571425
160,15,2017.0,3.0,51.5,34.12
161,16,2017.0,3.0,63.0,29.915384615384614
162,17,2017.0,3.0,77.5,32.449999999999996
163,18,2017.0,3.0,100.0,32.755172413793105
164,19,2017.0,4.0,18.0,34.31142857142857
165,20,2017.0,4.0,45.266666666666666,32.486666666666665
166,21,2017.0,4.0,53.0,41.300000000000004
167,22,2017.0,5.0,2.0,38.0
