,Codi_Barri,Any,Mes,Codi_Districte,Població_16_64_anys,Pes_atur
95,23,2016.0,6.5,5.0,14815.0,3.4
96,24,2016.0,6.5,5.0,9862.0,3.8166666666666664
97,25,2016.0,6.5,5.0,15679.0,4.175
98,26,2016.0,6.5,5.0,29005.0,4.116666666666666
99,27,2016.0,6.5,5.0,18723.0,5.825
100,28,2016.0,6.5,6.0,9644.0,7.108333333333333
101,29,2016.0,6.5,6.0,4844.0,5.925
102,30,2016.0,6.5,6.0,8181.0,7.0
103,31,2016.0,6.5,6.0,34554.0,6.616666666666667
104,32,2016.0,6.5,6.0,21992.0,6.741666666666667
105,33,2016.0,6.5,7.0,16328.0,7.016666666666667
106,34,2016.0,6.5,7.0,5755.0,7.091666666666666
107,35,2016.0,6.5,7.0,23144.0,8.025
108,36,2016.0,6.5,7.0,5746.0,9.783333333333333
109,37,2016.0,6.5,7.0,19883.0,9.65
110,38,2016.0,6.5,7.0,7287.0,7.8500000000000005
111,39,2016.0,6.5,7.0,4083.0,8.433333333333334
112,40,2016.0,6.5,7.0,2900.0,8.591666666666667
113,41,2016.0,6.5,7.0,3442.0,7.708333333333333
114,42,2016.0,6.5,7.0,411.0,4.5
115,43,2016.0,6.5,7.0,16273.0,9.875
116,44,2016.0,6.5,8.0,15927.0,9.4
117,45,2016.0,6.5,8.0,15116.0,9.674999999999999
118,46,2016.0,6.5,8.0,9561.0,9.725
119,47,2016.0,6.5,8.0,1382.0,9.391666666666667
120,48,2016.0,6.5,8.0,8691.0,12.125
121,49,2016.0,6.5,8.0,4297.0,11.941666666666668
122,50,2016.0,6.5,8.0,10145.0,10.991666666666667
123,51,2016.0,6.5,8.0,7733.0,11.049999999999999
124,52,2016.0,6.5,8.0,15863.0,10.375
125,53,2016.0,6.5,8.0,4717.0,15.716666666666667
126,54,2016.0,6.5,8.0,1871.0,10.950000000000001
127,55,2016.0,6.5,8.0,6463.0,16.525
128,56,2016.0,6.5,8.0,846.0,14.658333333333333
129,57,2016.0,6.5,9.0,6733.0,14.700000000000001
130,58,2016.0,6.5,9.0,1653.0,8.391666666666667
131,59,2016.0,6.5,9.0,7990.0,9.858333333333333
