Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G
2015,1,Ciutat Vella,1,el Raval,1,1001,16,1
2015,1,Ciutat Vella,1,el Raval,1,1002,17,1
2015,1,Ciutat Vella,1,el Raval,1,1002,..,3
2015,1,Ciutat Vella,1,el Raval,2,1003,26,1
2015,1,Ciutat Vella,1,el Raval,2,1003,..,3
2015,1,Ciutat Vella,1,el Raval,2,1004,27,1
2015,1,Ciutat Vella,1,el Raval,2,1004,..,3
2015,1,Ciutat Vella,1,el Raval,3,1005,14,1
2015,1,Ciutat Vella,1,el Raval,3,1005,..,3
2015,1,Ciutat Vella,1,el Raval,3,1006,..,1
2015,1,Ciutat Vella,1,el Raval,3,1007,7,1
2015,1,Ciutat Vella,1,el Raval,4,1008,22,1
2015,1,Ciutat Vella,1,el Raval,4,1008,..,3
2015,1,Ciutat Vella,1,el Raval,4,1009,11,1
2015,1,Ciutat Vella,1,el Raval,4,1010,10,1
2015,1,Ciutat Vella,1,el Raval,5,1011,11,1
2015,1,Ciutat Vella,1,el Raval,5,1012,12,1
2015,1,Ciutat Vella,1,el Raval,5,1013,13,1
2015,1,Ciutat Vella,1,el Raval,5,1013,..,3
2015,1,Ciutat Vella,1,el Raval,6,1014,9,1
2015,1,Ciutat Vella,1,el Raval,6,1014,..,2
2015,1,Ciutat Vella,1,el Raval,6,1014,..,3
2015,1,Ciutat Vella,1,el Raval,6,1015,20,1
2015,1,Ciutat Vella,1,el Raval,6,1016,17,1
2015,1,Ciutat Vella,1,el Raval,6,1016,..,2
2015,1,Ciutat Vella,1,el Raval,6,1016,..,3
2015,1,Ciutat Vella,1,el Raval,6,1017,9,1
2015,1,Ciutat Vella,1,el Raval,6,1017,..,3
2015,1,Ciutat Vella,1,el Raval,7,1018,21,1
2015,1,Ciutat Vella,1,el Raval,7,1019,20,1
2015,1,Ciutat Vella,1,el Raval,7,1020,15,1
2015,1,Ciutat Vella,1,el Raval,7,1020,..,2
2015,1,Ciutat Vella,1,el Raval,7,1020,..,3
2015,1,Ciutat Vella,1,el Raval,8,1021,8,1
2015,1,Ciutat Vella,2,el Barri Gòtic,9,1022,13,1
2015,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,3
2015,1,Ciutat Vella,2,el Barri Gòtic,9,1023,23,1
2015,1,Ciutat Vella,2,el Barri Gòtic,10,1025,7,1
2015,1,Ciutat Vella,2,el Barri Gòtic,10,1026,14,1
2015,1,Ciutat Vella,2,el Barri Gòtic,10,1027,12,1
2015,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,2
2015,1,Ciutat Vella,2,el Barri Gòtic,11,1028,10,1
2015,1,Ciutat Vella,2,el Barri Gòtic,11,1028,..,3
2015,1,Ciutat Vella,2,el Barri Gòtic,11,1029,10,1
2015,1,Ciutat Vella,2,el Barri Gòtic,12,1030,35,1
2015,1,Ciutat Vella,2,el Barri Gòtic,12,1031,15,1
2015,1,Ciutat Vella,3,la Barceloneta,13,1032,16,1
2015,1,Ciutat Vella,3,la Barceloneta,13,1033,6,1
2015,1,Ciutat Vella,3,la Barceloneta,13,1034,9,1
2015,1,Ciutat Vella,3,la Barceloneta,13,1034,..,2
2015,1,Ciutat Vella,3,la Barceloneta,14,1035,16,1
2015,1,Ciutat Vella,3,la Barceloneta,14,1036,20,1
2015,1,Ciutat Vella,3,la Barceloneta,15,1037,17,1
2015,1,Ciutat Vella,3,la Barceloneta,15,1038,9,1
2015,1,Ciutat Vella,3,la Barceloneta,15,1038,..,2
2015,1,Ciutat Vella,3,la Barceloneta,15,1039,17,1
2015,1,Ciutat Vella,3,la Barceloneta,15,1040,9,1
2015,1,Ciutat Vella,3,la Barceloneta,15,1041,14,1
2015,1,Ciutat Vella,3,la Barceloneta,15,1041,..,2
2015,1,Ciutat Vella,3,la Barceloneta,15,1042,51,1
2015,1,Ciutat Vella,3,la Barceloneta,15,1042,..,3
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,7,1
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,..,2
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,10,1
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,10,1
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,..,3
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,15,1
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,18,1
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,..,3
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,13,1
