"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2008-2012",9,"Sant Andreu",63,"Navas",975
"2008-2012",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1735
"2008-2012",10,"Sant Martí",65,"el Clot",1012
"2008-2012",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",582
"2008-2012",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",164
"2008-2012",10,"Sant Martí",68,"el Poblenou",1440
"2008-2012",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",329
"2008-2012",10,"Sant Martí",70,"el Besòs i el Maresme",1054
"2008-2012",10,"Sant Martí",71,"Provençals del Poblenou",757
"2008-2012",10,"Sant Martí",72,"Sant Martí de Provençals",1389
"2008-2012",10,"Sant Martí",73,"la Verneda i la Pau",1474
"2008-2012",99,"No consta",99,"No consta",972
"2009-2013",1,"Ciutat Vella",1,"el Raval",1892
"2009-2013",1,"Ciutat Vella",2,"el Barri Gòtic",767
"2009-2013",1,"Ciutat Vella",3,"la Barceloneta",899
"2009-2013",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",971
"2009-2013",2,"Eixample",5,"el Fort Pienc",1531
"2009-2013",2,"Eixample",6,"la Sagrada Família",2732
"2009-2013",2,"Eixample",7,"la Dreta de l'Eixample",2770
"2009-2013",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2323
"2009-2013",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2757
"2009-2013",2,"Eixample",10,"Sant Antoni",2061
"2009-2013",3,"Sants-Montjuïc",11,"el Poble Sec",1813
"2009-2013",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",148
"2009-2013",3,"Sants-Montjuïc",13,"la Marina de Port",1171
"2009-2013",3,"Sants-Montjuïc",14,"la Font de la Guatlla",544
"2009-2013",3,"Sants-Montjuïc",15,"Hostafrancs",771
"2009-2013",3,"Sants-Montjuïc",16,"la Bordeta",818
"2009-2013",3,"Sants-Montjuïc",17,"Sants - Badal",1007
"2009-2013",3,"Sants-Montjuïc",18,"Sants",2035
"2009-2013",4,"Les Corts",19,"les Corts",2109
"2009-2013",4,"Les Corts",20,"la Maternitat i Sant Ramon",957
"2009-2013",4,"Les Corts",21,"Pedralbes",490
"2009-2013",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",232
"2009-2013",5,"Sarrià-Sant Gervasi",23,"Sarrià",1181
"2009-2013",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",588
"2009-2013",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1261
"2009-2013",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2351
"2009-2013",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1228
"2009-2013",6,"Gràcia",28,"Vallcarca i els Penitents",791
"2009-2013",6,"Gràcia",29,"el Coll",255
"2009-2013",6,"Gràcia",30,"la Salut",725
"2009-2013",6,"Gràcia",31,"la Vila de Gràcia",2704
"2009-2013",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1694
"2009-2013",7,"Horta-Guinardó",33,"el Baix Guinardó",1450
