Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,570,1
2016-01-01,1,Ciutat Vella,1,el Raval,1,1001,739,2
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,681,1
2016-01-01,1,Ciutat Vella,1,el Raval,1,1002,865,2
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,1546,1
2016-01-01,1,Ciutat Vella,1,el Raval,2,1003,1874,2
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,1235,1
2016-01-01,1,Ciutat Vella,1,el Raval,2,1004,1518,2
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,1088,1
2016-01-01,1,Ciutat Vella,1,el Raval,3,1005,1393,2
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,672,1
2016-01-01,1,Ciutat Vella,1,el Raval,3,1006,877,2
2016-01-01,1,Ciutat Vella,1,el Raval,3,1007,805,1
2016-01-01,1,Ciutat Vella,1,el Raval,3,1007,1245,2
2016-01-01,1,Ciutat Vella,1,el Raval,4,1008,1306,1
2016-01-01,1,Ciutat Vella,1,el Raval,4,1008,2141,2
2016-01-01,1,Ciutat Vella,1,el Raval,4,1009,951,1
2016-01-01,1,Ciutat Vella,1,el Raval,4,1009,1200,2
2016-01-01,1,Ciutat Vella,1,el Raval,4,1010,1048,1
2016-01-01,1,Ciutat Vella,1,el Raval,4,1010,1434,2
2016-01-01,1,Ciutat Vella,1,el Raval,5,1011,1423,1
2016-01-01,1,Ciutat Vella,1,el Raval,5,1011,1879,2
2016-01-01,1,Ciutat Vella,1,el Raval,5,1012,900,1
2016-01-01,1,Ciutat Vella,1,el Raval,5,1012,978,2
2016-01-01,1,Ciutat Vella,1,el Raval,5,1013,686,1
2016-01-01,1,Ciutat Vella,1,el Raval,5,1013,666,2
2016-01-01,1,Ciutat Vella,1,el Raval,6,1014,917,1
2016-01-01,1,Ciutat Vella,1,el Raval,6,1014,1019,2
2016-01-01,1,Ciutat Vella,1,el Raval,6,1015,1089,1
2016-01-01,1,Ciutat Vella,1,el Raval,6,1015,1181,2
2016-01-01,1,Ciutat Vella,1,el Raval,6,1016,1084,1
2016-01-01,1,Ciutat Vella,1,el Raval,6,1016,1120,2
2016-01-01,1,Ciutat Vella,1,el Raval,6,1017,1272,1
2016-01-01,1,Ciutat Vella,1,el Raval,6,1017,1353,2
2016-01-01,1,Ciutat Vella,1,el Raval,7,1018,757,1
2016-01-01,1,Ciutat Vella,1,el Raval,7,1018,820,2
2016-01-01,1,Ciutat Vella,1,el Raval,7,1019,1273,1
2016-01-01,1,Ciutat Vella,1,el Raval,7,1019,1537,2
2016-01-01,1,Ciutat Vella,1,el Raval,7,1020,1102,1
2016-01-01,1,Ciutat Vella,1,el Raval,7,1020,970,2
2016-01-01,1,Ciutat Vella,1,el Raval,8,1021,982,1
2016-01-01,1,Ciutat Vella,1,el Raval,8,1021,1000,2
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,652,1
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,557,2
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,1022,1
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,921,2
2016-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,630,1
