"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Taxa_mil_hab","Nombre"
2018,9,"Sant Andreu",60,"Sant Andreu","Taxa per mil habitants",8.07979009921635
2018,9,"Sant Andreu",61,"la Sagrera","Taxa per mil habitants",6.19756890943332
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Taxa per mil habitants",6.56779661016949
2018,9,"Sant Andreu",63,"Navas","Taxa per mil habitants",6.16137362388438
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Taxa per mil habitants",7.91072925398156
2018,10,"Sant Martí",65,"el Clot","Taxa per mil habitants",7.00908585203041
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Taxa per mil habitants",9.17792054543071
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Taxa per mil habitants",7.12358337830545
2018,10,"Sant Martí",68,"el Poblenou","Taxa per mil habitants",8.48008509632431
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Taxa per mil habitants",11.7135700604096
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Taxa per mil habitants",10.4740904079383
2018,10,"Sant Martí",71,"Provençals del Poblenou","Taxa per mil habitants",9.9347423784942
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Taxa per mil habitants",5.95810109552181
2018,10,"Sant Martí",73,"la Verneda i la Pau","Taxa per mil habitants",6.57368439358631
