Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,566,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1001,699,2
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,689,1
2017-01-01,1,Ciutat Vella,1,el Raval,1,1002,906,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,1560,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1003,1894,2
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,1319,1
2017-01-01,1,Ciutat Vella,1,el Raval,2,1004,1587,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,1114,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1005,1392,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,728,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1006,933,2
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,827,1
2017-01-01,1,Ciutat Vella,1,el Raval,3,1007,1270,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,1303,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1008,2021,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,977,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1009,1188,2
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,1074,1
2017-01-01,1,Ciutat Vella,1,el Raval,4,1010,1430,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,1405,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1011,1825,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,925,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1012,983,2
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,731,1
2017-01-01,1,Ciutat Vella,1,el Raval,5,1013,674,2
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,949,1
2017-01-01,1,Ciutat Vella,1,el Raval,6,1014,1061,2
