Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
2015,1,Ciutat Vella,1,el Raval,113.2
2015,1,Ciutat Vella,2,el Barri Gòtic,142.2
2015,1,Ciutat Vella,3,la Barceloneta,103.3
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",113.6
2015,2,Eixample,5,el Fort Pienc,63.5
2015,2,Eixample,6,la Sagrada Família,63.9
2015,2,Eixample,7,la Dreta de l'Eixample,68.2
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70.4
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,61.4
2015,2,Eixample,10,Sant Antoni,60.3
2015,3,Sants-Montjuïc,11,el Poble Sec,71.9
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,54.2
2015,3,Sants-Montjuïc,13,la Marina de Port,45.1
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,73.5
2015,3,Sants-Montjuïc,15,Hostafrancs,74.5
2015,3,Sants-Montjuïc,16,la Bordeta,51.0
2015,3,Sants-Montjuïc,17,Sants - Badal,61.4
2015,3,Sants-Montjuïc,18,Sants,61.6
2015,4,Les Corts,19,les Corts,46.1
2015,4,Les Corts,20,la Maternitat i Sant Ramon,56.2
2015,4,Les Corts,21,Pedralbes,63.3
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",50.1
2015,5,Sarrià-Sant Gervasi,23,Sarrià,48.1
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,42.9
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,48.2
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,48.5
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,50.0
2015,6,Gràcia,28,Vallcarca i els Penitents,42.7
2015,6,Gràcia,29,el Coll,50.6
2015,6,Gràcia,30,la Salut,41.8
2015,6,Gràcia,31,la Vila de Gràcia,69.4
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,48.4
2015,7,Horta-Guinardó,33,el Baix Guinardó,47.3
2015,7,Horta-Guinardó,34,Can Baró,45.5
2015,7,Horta-Guinardó,35,el Guinardó,46.4
2015,7,Horta-Guinardó,36,la Font d'en Fargues,24.4
2015,7,Horta-Guinardó,37,el Carmel,37.0
2015,7,Horta-Guinardó,38,la Teixonera,36.9
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,40.1
2015,7,Horta-Guinardó,40,Montbau,43.9
2015,7,Horta-Guinardó,41,la Vall d'Hebron,33.6
2015,7,Horta-Guinardó,42,la Clota,51.6
2015,7,Horta-Guinardó,43,Horta,37.3
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,39.4
2015,8,Nou Barris,45,Porta,41.4
2015,8,Nou Barris,46,el Turó de la Peira,49.3
2015,8,Nou Barris,47,Can Peguera,18.0
2015,8,Nou Barris,48,la Guineueta,28.8
2015,8,Nou Barris,49,Canyelles,23.2
2015,8,Nou Barris,50,les Roquetes,54.6
2015,8,Nou Barris,51,Verdun,48.5
2015,8,Nou Barris,52,la Prosperitat,40.8
2015,8,Nou Barris,53,la Trinitat Nova,51.8
2015,8,Nou Barris,54,Torre Baró,51.7
2015,8,Nou Barris,55,Ciutat Meridiana,58.5
2015,8,Nou Barris,56,Vallbona,54.6
2015,9,Sant Andreu,57,la Trinitat Vella,68.9
2015,9,Sant Andreu,58,Baró de Viver,44.3
2015,9,Sant Andreu,59,el Bon Pastor,46.1
2015,9,Sant Andreu,60,Sant Andreu,32.0
2015,9,Sant Andreu,61,la Sagrera,40.7
2015,9,Sant Andreu,62,el Congrés i els Indians,40.3
2015,9,Sant Andreu,63,Navas,42.4
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,51.0
2015,10,Sant Martí,65,el Clot,45.1
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,60.5
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,51.8
2015,10,Sant Martí,68,el Poblenou,47.9
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,50.3
2015,10,Sant Martí,70,el Besòs i el Maresme,68.8
2015,10,Sant Martí,71,Provençals del Poblenou,46.6
2015,10,Sant Martí,72,Sant Martí de Provençals,36.9
2015,10,Sant Martí,73,la Verneda i la Pau,38.0
