Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,573,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1001,748,2
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,683,1
2015-01-01,1,Ciutat Vella,1,el Raval,1,1002,845,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,1540,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1003,1800,2
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,1241,1
2015-01-01,1,Ciutat Vella,1,el Raval,2,1004,1544,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,1057,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1005,1403,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,673,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1006,887,2
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,783,1
2015-01-01,1,Ciutat Vella,1,el Raval,3,1007,1261,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,1330,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1008,2084,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,977,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1009,1198,2
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,1005,1
2015-01-01,1,Ciutat Vella,1,el Raval,4,1010,1354,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,1440,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1011,1938,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,915,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1012,968,2
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,694,1
2015-01-01,1,Ciutat Vella,1,el Raval,5,1013,662,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,936,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1014,1050,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,1128,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1015,1175,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,1079,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1016,1094,2
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,1295,1
2015-01-01,1,Ciutat Vella,1,el Raval,6,1017,1382,2
2015-01-01,1,Ciutat Vella,1,el Raval,7,1018,747,1
2015-01-01,1,Ciutat Vella,1,el Raval,7,1018,815,2
2015-01-01,1,Ciutat Vella,1,el Raval,7,1019,1249,1
2015-01-01,1,Ciutat Vella,1,el Raval,7,1019,1536,2
2015-01-01,1,Ciutat Vella,1,el Raval,7,1020,1095,1
2015-01-01,1,Ciutat Vella,1,el Raval,7,1020,974,2
2015-01-01,1,Ciutat Vella,1,el Raval,8,1021,990,1
2015-01-01,1,Ciutat Vella,1,el Raval,8,1021,1002,2
2015-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,621,1
