"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Taxa_mil_hab","Nombre"
2018,9,"Sant Andreu",60,"Sant Andreu","Taxa per mil habitants",33.48334520686
2018,9,"Sant Andreu",61,"la Sagrera","Taxa per mil habitants",46.738572162301
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Taxa per mil habitants",53.5310734463277
2018,9,"Sant Andreu",63,"Navas","Taxa per mil habitants",46.0743895256648
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Taxa per mil habitants",61.8189438390612
2018,10,"Sant Martí",65,"el Clot","Taxa per mil habitants",49.9165585017615
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Taxa per mil habitants",63.4587649141209
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Taxa per mil habitants",45.8715596330275
2018,10,"Sant Martí",68,"el Poblenou","Taxa per mil habitants",49.2849544971044
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Taxa per mil habitants",46.3385884779726
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Taxa per mil habitants",95.242133830888
2018,10,"Sant Martí",71,"Provençals del Poblenou","Taxa per mil habitants",49.138014999513
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Taxa per mil habitants",41.6682683067461
2018,10,"Sant Martí",73,"la Verneda i la Pau","Taxa per mil habitants",39.9638273451358
