Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G
2016,1,Ciutat Vella,1,el Raval,1,1001,8,1
2016,1,Ciutat Vella,1,el Raval,1,1001,..,3
2016,1,Ciutat Vella,1,el Raval,1,1002,14,1
2016,1,Ciutat Vella,1,el Raval,1,1002,..,2
2016,1,Ciutat Vella,1,el Raval,1,1002,..,3
2016,1,Ciutat Vella,1,el Raval,2,1003,22,1
2016,1,Ciutat Vella,1,el Raval,2,1003,..,3
2016,1,Ciutat Vella,1,el Raval,2,1004,14,1
2016,1,Ciutat Vella,1,el Raval,2,1004,..,3
2016,1,Ciutat Vella,1,el Raval,3,1005,20,1
2016,1,Ciutat Vella,1,el Raval,3,1005,..,2
2016,1,Ciutat Vella,1,el Raval,3,1006,8,1
2016,1,Ciutat Vella,1,el Raval,3,1007,10,1
2016,1,Ciutat Vella,1,el Raval,3,1007,..,3
2016,1,Ciutat Vella,1,el Raval,4,1008,16,1
2016,1,Ciutat Vella,1,el Raval,4,1008,..,2
2016,1,Ciutat Vella,1,el Raval,4,1008,..,3
2016,1,Ciutat Vella,1,el Raval,4,1009,20,1
2016,1,Ciutat Vella,1,el Raval,4,1010,7,1
2016,1,Ciutat Vella,1,el Raval,4,1010,..,3
2016,1,Ciutat Vella,1,el Raval,5,1011,19,1
2016,1,Ciutat Vella,1,el Raval,5,1012,11,1
2016,1,Ciutat Vella,1,el Raval,5,1013,12,1
2016,1,Ciutat Vella,1,el Raval,6,1014,13,1
2016,1,Ciutat Vella,1,el Raval,6,1015,11,1
2016,1,Ciutat Vella,1,el Raval,6,1015,..,3
2016,1,Ciutat Vella,1,el Raval,6,1016,15,1
2016,1,Ciutat Vella,1,el Raval,6,1017,6,1
2016,1,Ciutat Vella,1,el Raval,7,1018,10,1
2016,1,Ciutat Vella,1,el Raval,7,1018,..,2
2016,1,Ciutat Vella,1,el Raval,7,1019,13,1
2016,1,Ciutat Vella,1,el Raval,7,1019,..,3
2016,1,Ciutat Vella,1,el Raval,7,1020,16,1
2016,1,Ciutat Vella,1,el Raval,8,1021,16,1
2016,1,Ciutat Vella,2,el Barri Gòtic,9,1022,9,1
2016,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,2
2016,1,Ciutat Vella,2,el Barri Gòtic,9,1023,9,1
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1025,6,1
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1025,..,3
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1026,13,1
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,2
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,3
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1027,13,1
2016,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,3
2016,1,Ciutat Vella,2,el Barri Gòtic,11,1028,12,1
2016,1,Ciutat Vella,2,el Barri Gòtic,11,1029,7,1
2016,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,3
2016,1,Ciutat Vella,2,el Barri Gòtic,12,1030,26,1
2016,1,Ciutat Vella,2,el Barri Gòtic,12,1030,..,2
2016,1,Ciutat Vella,2,el Barri Gòtic,12,1031,8,1
2016,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,2
2016,1,Ciutat Vella,3,la Barceloneta,13,1032,23,1
2016,1,Ciutat Vella,3,la Barceloneta,13,1033,13,1
2016,1,Ciutat Vella,3,la Barceloneta,13,1033,..,2
2016,1,Ciutat Vella,3,la Barceloneta,13,1033,..,3
2016,1,Ciutat Vella,3,la Barceloneta,13,1034,11,1
2016,1,Ciutat Vella,3,la Barceloneta,14,1035,15,1
2016,1,Ciutat Vella,3,la Barceloneta,14,1035,..,3
2016,1,Ciutat Vella,3,la Barceloneta,14,1036,15,1
2016,1,Ciutat Vella,3,la Barceloneta,15,1037,12,1
2016,1,Ciutat Vella,3,la Barceloneta,15,1038,15,1
2016,1,Ciutat Vella,3,la Barceloneta,15,1038,..,3
2016,1,Ciutat Vella,3,la Barceloneta,15,1039,15,1
2016,1,Ciutat Vella,3,la Barceloneta,15,1040,6,1
2016,1,Ciutat Vella,3,la Barceloneta,15,1040,..,3
2016,1,Ciutat Vella,3,la Barceloneta,15,1041,9,1
2016,1,Ciutat Vella,3,la Barceloneta,15,1042,48,1
2016,1,Ciutat Vella,3,la Barceloneta,15,1042,..,3
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,8,1
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,7,1
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,19,1
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,13,1
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,..,3
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,10,1
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,26,1
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,..,2
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,10,1
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,..,2
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,..,3
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,13,1
