"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Import_Renda_Bruta_€                "
2016,1,"Ciutat Vella",1,"el Raval",1,11779
2016,1,"Ciutat Vella",1,"el Raval",2,8591
2016,1,"Ciutat Vella",1,"el Raval",3,8770
2016,1,"Ciutat Vella",1,"el Raval",4,11403
2016,1,"Ciutat Vella",1,"el Raval",5,8904
2016,1,"Ciutat Vella",1,"el Raval",6,10876
2016,1,"Ciutat Vella",1,"el Raval",7,9619
2016,1,"Ciutat Vella",1,"el Raval",8,7756
2016,1,"Ciutat Vella",1,"el Raval",9,9765
2016,1,"Ciutat Vella",1,"el Raval",10,8730
2016,1,"Ciutat Vella",1,"el Raval",11,7736
2016,1,"Ciutat Vella",1,"el Raval",12,10669
2016,1,"Ciutat Vella",1,"el Raval",13,11385
2016,1,"Ciutat Vella",1,"el Raval",14,9888
2016,1,"Ciutat Vella",1,"el Raval",15,10206
2016,1,"Ciutat Vella",1,"el Raval",16,9606
2016,1,"Ciutat Vella",1,"el Raval",17,8871
2016,1,"Ciutat Vella",1,"el Raval",18,9444
2016,1,"Ciutat Vella",1,"el Raval",19,9305
2016,1,"Ciutat Vella",1,"el Raval",20,16357
2016,1,"Ciutat Vella",1,"el Raval",21,15096
2016,1,"Ciutat Vella",2,"el Gòtic",22,19996
2016,1,"Ciutat Vella",2,"el Gòtic",23,17095
2016,1,"Ciutat Vella",2,"el Gòtic",25,14557
2016,1,"Ciutat Vella",2,"el Gòtic",26,14333
2016,1,"Ciutat Vella",2,"el Gòtic",27,13255
2016,1,"Ciutat Vella",2,"el Gòtic",28,13651
2016,1,"Ciutat Vella",2,"el Gòtic",29,11926
2016,1,"Ciutat Vella",2,"el Gòtic",30,12315
2016,1,"Ciutat Vella",2,"el Gòtic",31,12882
2016,1,"Ciutat Vella",3,"la Barceloneta",32,15681
2016,1,"Ciutat Vella",3,"la Barceloneta",33,11871
2016,1,"Ciutat Vella",3,"la Barceloneta",34,12207
2016,1,"Ciutat Vella",3,"la Barceloneta",35,12189
2016,1,"Ciutat Vella",3,"la Barceloneta",36,13185
2016,1,"Ciutat Vella",3,"la Barceloneta",37,12865
2016,1,"Ciutat Vella",3,"la Barceloneta",38,12090
2016,1,"Ciutat Vella",3,"la Barceloneta",39,13773
2016,1,"Ciutat Vella",3,"la Barceloneta",40,14415
2016,1,"Ciutat Vella",3,"la Barceloneta",41,12248
2016,1,"Ciutat Vella",3,"la Barceloneta",42,14437
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,19191
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,18294
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,14700
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,15529
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,12956
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,10201
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,14601
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,14779
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,11473
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,20320
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,12655
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,13979
2016,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,18617
2016,2,"Eixample",5,"el Fort Pienc",1,18458
2016,2,"Eixample",5,"el Fort Pienc",2,17941
2016,2,"Eixample",5,"el Fort Pienc",3,21680
2016,2,"Eixample",5,"el Fort Pienc",4,15530
2016,2,"Eixample",5,"el Fort Pienc",5,22110
2016,2,"Eixample",5,"el Fort Pienc",6,23057
2016,2,"Eixample",5,"el Fort Pienc",7,23086
2016,2,"Eixample",5,"el Fort Pienc",8,21637
2016,2,"Eixample",5,"el Fort Pienc",9,20625
2016,2,"Eixample",5,"el Fort Pienc",10,18823
2016,2,"Eixample",5,"el Fort Pienc",11,21207
2016,2,"Eixample",5,"el Fort Pienc",12,16468
2016,2,"Eixample",5,"el Fort Pienc",13,17655
2016,2,"Eixample",5,"el Fort Pienc",14,14887
2016,2,"Eixample",5,"el Fort Pienc",15,16851
2016,2,"Eixample",5,"el Fort Pienc",16,22498
2016,2,"Eixample",5,"el Fort Pienc",17,21492
2016,2,"Eixample",5,"el Fort Pienc",18,22222
2016,2,"Eixample",5,"el Fort Pienc",19,19383
2016,2,"Eixample",5,"el Fort Pienc",20,17475
2016,2,"Eixample",6,"la Sagrada Família",21,18373
2016,2,"Eixample",6,"la Sagrada Família",22,19632
2016,2,"Eixample",6,"la Sagrada Família",23,19620
2016,2,"Eixample",6,"la Sagrada Família",24,17347
2016,2,"Eixample",6,"la Sagrada Família",25,17075
2016,2,"Eixample",6,"la Sagrada Família",26,19122
2016,2,"Eixample",6,"la Sagrada Família",27,20908
2016,2,"Eixample",6,"la Sagrada Família",28,19694
2016,2,"Eixample",6,"la Sagrada Família",29,17515
2016,2,"Eixample",6,"la Sagrada Família",30,15713
2016,2,"Eixample",6,"la Sagrada Família",31,23193
2016,2,"Eixample",6,"la Sagrada Família",32,20297
2016,2,"Eixample",6,"la Sagrada Família",33,19039
2016,2,"Eixample",6,"la Sagrada Família",34,15812
2016,2,"Eixample",6,"la Sagrada Família",35,20081
2016,2,"Eixample",6,"la Sagrada Família",36,22342
2016,2,"Eixample",6,"la Sagrada Família",37,22140
2016,2,"Eixample",6,"la Sagrada Família",38,22716
