"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Index_Gini"
2018,1,"Ciutat Vella",1,"el Raval",1,"36.0"
2018,1,"Ciutat Vella",1,"el Raval",2,"37.9"
2018,1,"Ciutat Vella",1,"el Raval",3,"36.1"
2018,1,"Ciutat Vella",1,"el Raval",4,"37.6"
2018,1,"Ciutat Vella",1,"el Raval",5,"37.6"
2018,1,"Ciutat Vella",1,"el Raval",6,"39.8"
2018,1,"Ciutat Vella",1,"el Raval",7,"39.2"
2018,1,"Ciutat Vella",1,"el Raval",8,"33.4"
2018,1,"Ciutat Vella",1,"el Raval",9,"38.5"
2018,1,"Ciutat Vella",1,"el Raval",10,"34.7"
2018,1,"Ciutat Vella",1,"el Raval",11,"35.4"
2018,1,"Ciutat Vella",1,"el Raval",12,"33.0"
2018,1,"Ciutat Vella",1,"el Raval",13,"32.0"
2018,1,"Ciutat Vella",1,"el Raval",14,"31.7"
2018,1,"Ciutat Vella",1,"el Raval",15,"35.1"
2018,1,"Ciutat Vella",1,"el Raval",16,"30.6"
2018,1,"Ciutat Vella",1,"el Raval",17,"30.8"
2018,1,"Ciutat Vella",1,"el Raval",18,"32.8"
2018,1,"Ciutat Vella",1,"el Raval",19,"35.3"
2018,1,"Ciutat Vella",1,"el Raval",20,"37.1"
2018,1,"Ciutat Vella",1,"el Raval",21,"36.9"
2018,1,"Ciutat Vella",2,"el Gòtic",22,"41.4"
2018,1,"Ciutat Vella",2,"el Gòtic",23,"38.3"
2018,1,"Ciutat Vella",2,"el Gòtic",25,"42.4"
2018,1,"Ciutat Vella",2,"el Gòtic",26,"40.5"
2018,1,"Ciutat Vella",2,"el Gòtic",27,"40.9"
2018,1,"Ciutat Vella",2,"el Gòtic",28,"38.8"
2018,1,"Ciutat Vella",2,"el Gòtic",29,"42.8"
2018,1,"Ciutat Vella",2,"el Gòtic",30,"38.6"
2018,1,"Ciutat Vella",2,"el Gòtic",31,"42.8"
2018,1,"Ciutat Vella",3,"la Barceloneta",32,"37.6"
2018,1,"Ciutat Vella",3,"la Barceloneta",33,"35.1"
2018,1,"Ciutat Vella",3,"la Barceloneta",34,"33.2"
2018,1,"Ciutat Vella",3,"la Barceloneta",35,"32.2"
2018,1,"Ciutat Vella",3,"la Barceloneta",36,"33.9"
2018,1,"Ciutat Vella",3,"la Barceloneta",37,"33.3"
2018,1,"Ciutat Vella",3,"la Barceloneta",38,"37.1"
2018,1,"Ciutat Vella",3,"la Barceloneta",39,"32.8"
2018,1,"Ciutat Vella",3,"la Barceloneta",40,"37.3"
2018,1,"Ciutat Vella",3,"la Barceloneta",41,"35.4"
2018,1,"Ciutat Vella",3,"la Barceloneta",42,"33.6"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,"39.2"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,"44.6"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,"38.5"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,"39.6"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,"39.7"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,"36.4"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,"40.8"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,"36.8"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,"36.0"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,"41.8"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,"36.4"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,"37.3"
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,"37.9"
2018,2,"Eixample",5,"el Fort Pienc",1,"34.2"
2018,2,"Eixample",5,"el Fort Pienc",2,"32.6"
2018,2,"Eixample",5,"el Fort Pienc",3,"31.6"
2018,2,"Eixample",5,"el Fort Pienc",4,"33.7"
2018,2,"Eixample",5,"el Fort Pienc",5,"31.5"
2018,2,"Eixample",5,"el Fort Pienc",6,"33.4"
2018,2,"Eixample",5,"el Fort Pienc",7,"35.5"
2018,2,"Eixample",5,"el Fort Pienc",8,"32.7"
2018,2,"Eixample",5,"el Fort Pienc",9,"34.1"
2018,2,"Eixample",5,"el Fort Pienc",10,"31.5"
2018,2,"Eixample",5,"el Fort Pienc",11,"30.0"
2018,2,"Eixample",5,"el Fort Pienc",12,"34.6"
2018,2,"Eixample",5,"el Fort Pienc",13,"35.8"
2018,2,"Eixample",5,"el Fort Pienc",14,"30.4"
2018,2,"Eixample",5,"el Fort Pienc",15,"34.2"
2018,2,"Eixample",5,"el Fort Pienc",16,"32.5"
2018,2,"Eixample",5,"el Fort Pienc",17,"33.7"
2018,2,"Eixample",5,"el Fort Pienc",18,"32.7"
2018,2,"Eixample",5,"el Fort Pienc",19,"33.8"
2018,2,"Eixample",5,"el Fort Pienc",20,"33.1"
2018,2,"Eixample",6,"la Sagrada Família",21,"33.3"
2018,2,"Eixample",6,"la Sagrada Família",22,"38.5"
2018,2,"Eixample",6,"la Sagrada Família",23,"30.7"
2018,2,"Eixample",6,"la Sagrada Família",24,"37.1"
2018,2,"Eixample",6,"la Sagrada Família",25,"33.4"
2018,2,"Eixample",6,"la Sagrada Família",26,"36.7"
2018,2,"Eixample",6,"la Sagrada Família",27,"33.5"
2018,2,"Eixample",6,"la Sagrada Família",28,"36.9"
2018,2,"Eixample",6,"la Sagrada Família",29,"33.0"
2018,2,"Eixample",6,"la Sagrada Família",30,"30.8"
2018,2,"Eixample",6,"la Sagrada Família",31,"34.0"
2018,2,"Eixample",6,"la Sagrada Família",32,"32.7"
2018,2,"Eixample",6,"la Sagrada Família",33,"29.6"
2018,2,"Eixample",6,"la Sagrada Família",34,"33.3"
2018,2,"Eixample",6,"la Sagrada Família",35,"32.9"
2018,2,"Eixample",6,"la Sagrada Família",36,"33.1"
2018,2,"Eixample",6,"la Sagrada Família",37,"31.2"
2018,2,"Eixample",6,"la Sagrada Família",38,"30.7"
2018,2,"Eixample",6,"la Sagrada Família",39,"34.0"
2018,2,"Eixample",6,"la Sagrada Família",40,"34.0"
2018,2,"Eixample",6,"la Sagrada Família",41,"33.5"
2018,2,"Eixample",6,"la Sagrada Família",42,"29.9"
2018,2,"Eixample",6,"la Sagrada Família",43,"32.4"
2018,2,"Eixample",6,"la Sagrada Família",44,"33.0"
2018,2,"Eixample",6,"la Sagrada Família",45,"35.2"
2018,2,"Eixample",6,"la Sagrada Família",46,"33.2"
2018,2,"Eixample",6,"la Sagrada Família",47,"35.5"
2018,2,"Eixample",6,"la Sagrada Família",48,"36.6"
2018,2,"Eixample",6,"la Sagrada Família",49,"38.5"
2018,2,"Eixample",6,"la Sagrada Família",50,"35.1"
2018,2,"Eixample",6,"la Sagrada Família",51,"36.9"
2018,2,"Eixample",6,"la Sagrada Família",52,"35.4"
2018,2,"Eixample",6,"la Sagrada Família",53,"36.2"
2018,2,"Eixample",6,"la Sagrada Família",54,"33.2"
2018,2,"Eixample",7,"la Dreta de l'Eixample",55,"35.6"
2018,2,"Eixample",7,"la Dreta de l'Eixample",56,"34.4"
2018,2,"Eixample",7,"la Dreta de l'Eixample",57,"34.2"
2018,2,"Eixample",7,"la Dreta de l'Eixample",58,"32.0"
2018,2,"Eixample",7,"la Dreta de l'Eixample",59,"36.9"
2018,2,"Eixample",7,"la Dreta de l'Eixample",60,"35.5"
2018,2,"Eixample",7,"la Dreta de l'Eixample",61,"35.7"
2018,2,"Eixample",7,"la Dreta de l'Eixample",62,"37.4"
2018,2,"Eixample",7,"la Dreta de l'Eixample",63,"42.3"
2018,2,"Eixample",7,"la Dreta de l'Eixample",64,"36.0"
2018,2,"Eixample",7,"la Dreta de l'Eixample",65,"39.2"
2018,2,"Eixample",7,"la Dreta de l'Eixample",66,"32.8"
2018,2,"Eixample",7,"la Dreta de l'Eixample",67,"32.9"
2018,2,"Eixample",7,"la Dreta de l'Eixample",68,"34.4"
2018,2,"Eixample",7,"la Dreta de l'Eixample",69,"37.2"
2018,2,"Eixample",7,"la Dreta de l'Eixample",70,"39.1"
2018,2,"Eixample",7,"la Dreta de l'Eixample",71,"36.1"
2018,2,"Eixample",7,"la Dreta de l'Eixample",72,"37.3"
2018,2,"Eixample",7,"la Dreta de l'Eixample",73,"36.4"
2018,2,"Eixample",7,"la Dreta de l'Eixample",74,"42.4"
2018,2,"Eixample",7,"la Dreta de l'Eixample",75,"38.2"
2018,2,"Eixample",7,"la Dreta de l'Eixample",76,"40.2"
2018,2,"Eixample",7,"la Dreta de l'Eixample",77,"42.8"
2018,2,"Eixample",7,"la Dreta de l'Eixample",78,"42.5"
2018,2,"Eixample",7,"la Dreta de l'Eixample",79,"45.6"
2018,2,"Eixample",7,"la Dreta de l'Eixample",80,"43.1"
2018,2,"Eixample",7,"la Dreta de l'Eixample",81,"43.8"
2018,2,"Eixample",7,"la Dreta de l'Eixample",82,"39.5"
2018,2,"Eixample",7,"la Dreta de l'Eixample",83,"45.6"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",84,"41.1"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",85,"38.5"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86,"39.3"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",87,"38.3"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",88,"35.9"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",89,"39.2"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",90,"38.7"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",91,"40.2"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",92,"38.1"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",93,"38.4"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",94,"35.0"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",95,"38.7"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",96,"38.0"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",97,"35.2"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",98,"36.9"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",99,"37.8"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",100,"33.7"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",101,"38.8"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",102,"37.0"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",103,"36.5"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",104,"35.0"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",105,"37.3"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",106,"37.9"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",107,"34.1"
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",108,"36.6"
