Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
2015,1,Ciutat Vella,1,el Raval,9.1
2015,1,Ciutat Vella,2,el Barri Gòtic,6.4
2015,1,Ciutat Vella,3,la Barceloneta,6.5
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7.3
2015,2,Eixample,5,el Fort Pienc,7.5
2015,2,Eixample,6,la Sagrada Família,7.6
2015,2,Eixample,7,la Dreta de l'Eixample,9.0
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,8.0
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,7.7
2015,2,Eixample,10,Sant Antoni,8.7
2015,3,Sants-Montjuïc,11,el Poble Sec,8.8
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,11.5
2015,3,Sants-Montjuïc,13,la Marina de Port,8.0
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,6.0
2015,3,Sants-Montjuïc,15,Hostafrancs,6.7
2015,3,Sants-Montjuïc,16,la Bordeta,9.1
2015,3,Sants-Montjuïc,17,Sants - Badal,7.6
2015,3,Sants-Montjuïc,18,Sants,8.4
2015,4,Les Corts,19,les Corts,8.3
2015,4,Les Corts,20,la Maternitat i Sant Ramon,8.3
2015,4,Les Corts,21,Pedralbes,6.5
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",9.5
2015,5,Sarrià-Sant Gervasi,23,Sarrià,9.1
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,8.4
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,8.3
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,8.7
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,9.7
2015,6,Gràcia,28,Vallcarca i els Penitents,8.7
2015,6,Gràcia,29,el Coll,7.8
2015,6,Gràcia,30,la Salut,6.3
2015,6,Gràcia,31,la Vila de Gràcia,9.7
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,8.1
2015,7,Horta-Guinardó,33,el Baix Guinardó,7.5
2015,7,Horta-Guinardó,34,Can Baró,5.7
2015,7,Horta-Guinardó,35,el Guinardó,9.0
2015,7,Horta-Guinardó,36,la Font d'en Fargues,8.1
2015,7,Horta-Guinardó,37,el Carmel,7.8
2015,7,Horta-Guinardó,38,la Teixonera,7.4
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,6.9
2015,7,Horta-Guinardó,40,Montbau,5.9
2015,7,Horta-Guinardó,41,la Vall d'Hebron,9.5
2015,7,Horta-Guinardó,42,la Clota,16.6
2015,7,Horta-Guinardó,43,Horta,7.3
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,7.8
2015,8,Nou Barris,45,Porta,8.0
2015,8,Nou Barris,46,el Turó de la Peira,8.7
2015,8,Nou Barris,47,Can Peguera,7.4
2015,8,Nou Barris,48,la Guineueta,7.1
2015,8,Nou Barris,49,Canyelles,7.3
2015,8,Nou Barris,50,les Roquetes,10.3
2015,8,Nou Barris,51,Verdun,9.5
2015,8,Nou Barris,52,la Prosperitat,8.5
2015,8,Nou Barris,53,la Trinitat Nova,9.5
2015,8,Nou Barris,54,Torre Baró,12.4
2015,8,Nou Barris,55,Ciutat Meridiana,10.4
2015,8,Nou Barris,56,Vallbona,8.9
2015,9,Sant Andreu,57,la Trinitat Vella,9.5
2015,9,Sant Andreu,58,Baró de Viver,12.0
2015,9,Sant Andreu,59,el Bon Pastor,8.7
2015,9,Sant Andreu,60,Sant Andreu,8.5
2015,9,Sant Andreu,61,la Sagrera,7.8
2015,9,Sant Andreu,62,el Congrés i els Indians,8.4
2015,9,Sant Andreu,63,Navas,8.1
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,8.4
2015,10,Sant Martí,65,el Clot,7.7
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,11.0
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,10.0
2015,10,Sant Martí,68,el Poblenou,9.6
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13.4
2015,10,Sant Martí,70,el Besòs i el Maresme,8.3
2015,10,Sant Martí,71,Provençals del Poblenou,9.1
2015,10,Sant Martí,72,Sant Martí de Provençals,7.9
2015,10,Sant Martí,73,la Verneda i la Pau,7.8
