Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G
2018,1,Ciutat Vella,1,el Raval,1,1001,8,1
2018,1,Ciutat Vella,1,el Raval,1,1002,21,1
2018,1,Ciutat Vella,1,el Raval,1,1002,..,2
2018,1,Ciutat Vella,1,el Raval,2,1003,19,1
2018,1,Ciutat Vella,1,el Raval,2,1004,15,1
2018,1,Ciutat Vella,1,el Raval,3,1005,20,1
2018,1,Ciutat Vella,1,el Raval,3,1005,..,3
2018,1,Ciutat Vella,1,el Raval,3,1006,11,1
2018,1,Ciutat Vella,1,el Raval,3,1007,6,1
2018,1,Ciutat Vella,1,el Raval,3,1007,..,2
2018,1,Ciutat Vella,1,el Raval,3,1007,..,3
2018,1,Ciutat Vella,1,el Raval,4,1008,20,1
2018,1,Ciutat Vella,1,el Raval,4,1008,..,2
2018,1,Ciutat Vella,1,el Raval,4,1009,10,1
2018,1,Ciutat Vella,1,el Raval,4,1009,..,3
2018,1,Ciutat Vella,1,el Raval,4,1010,19,1
2018,1,Ciutat Vella,1,el Raval,4,1010,..,3
2018,1,Ciutat Vella,1,el Raval,5,1011,15,1
2018,1,Ciutat Vella,1,el Raval,5,1011,..,3
2018,1,Ciutat Vella,1,el Raval,5,1012,7,1
2018,1,Ciutat Vella,1,el Raval,5,1013,15,1
2018,1,Ciutat Vella,1,el Raval,5,1013,..,3
2018,1,Ciutat Vella,1,el Raval,6,1014,9,1
2018,1,Ciutat Vella,1,el Raval,6,1014,..,2
2018,1,Ciutat Vella,1,el Raval,6,1014,..,3
2018,1,Ciutat Vella,1,el Raval,6,1015,16,1
2018,1,Ciutat Vella,1,el Raval,6,1015,..,3
2018,1,Ciutat Vella,1,el Raval,6,1016,..,1
2018,1,Ciutat Vella,1,el Raval,6,1016,..,3
2018,1,Ciutat Vella,1,el Raval,6,1017,6,1
2018,1,Ciutat Vella,1,el Raval,6,1017,..,2
2018,1,Ciutat Vella,1,el Raval,6,1017,..,3
2018,1,Ciutat Vella,1,el Raval,7,1018,5,1
2018,1,Ciutat Vella,1,el Raval,7,1019,12,1
2018,1,Ciutat Vella,1,el Raval,7,1020,13,1
2018,1,Ciutat Vella,1,el Raval,8,1021,15,1
2018,1,Ciutat Vella,2,el Barri Gòtic,9,1022,10,1
2018,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,3
2018,1,Ciutat Vella,2,el Barri Gòtic,9,1023,13,1
2018,1,Ciutat Vella,2,el Barri Gòtic,9,1023,..,3
2018,1,Ciutat Vella,2,el Barri Gòtic,10,1025,8,1
2018,1,Ciutat Vella,2,el Barri Gòtic,10,1025,..,2
2018,1,Ciutat Vella,2,el Barri Gòtic,10,1026,14,1
2018,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,2
2018,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,3
2018,1,Ciutat Vella,2,el Barri Gòtic,10,1027,19,1
2018,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,3
2018,1,Ciutat Vella,2,el Barri Gòtic,11,1028,8,1
2018,1,Ciutat Vella,2,el Barri Gòtic,11,1029,..,1
2018,1,Ciutat Vella,2,el Barri Gòtic,12,1030,31,1
2018,1,Ciutat Vella,2,el Barri Gòtic,12,1030,..,3
2018,1,Ciutat Vella,2,el Barri Gòtic,12,1031,6,1
2018,1,Ciutat Vella,2,el Barri Gòtic,12,1031,..,3
2018,1,Ciutat Vella,3,la Barceloneta,13,1032,12,1
2018,1,Ciutat Vella,3,la Barceloneta,13,1033,10,1
2018,1,Ciutat Vella,3,la Barceloneta,13,1034,11,1
2018,1,Ciutat Vella,3,la Barceloneta,13,1034,..,2
2018,1,Ciutat Vella,3,la Barceloneta,14,1035,16,1
2018,1,Ciutat Vella,3,la Barceloneta,14,1035,..,2
2018,1,Ciutat Vella,3,la Barceloneta,14,1036,16,1
2018,1,Ciutat Vella,3,la Barceloneta,15,1037,12,1
2018,1,Ciutat Vella,3,la Barceloneta,15,1038,7,1
