Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,SEXE
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,596,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1001,749,2
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,702,1
2019-01-01,1,Ciutat Vella,1,el Raval,1,1002,822,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,1664,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1003,1916,2
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,1288,1
2019-01-01,1,Ciutat Vella,1,el Raval,2,1004,1589,2
2019-01-01,1,Ciutat Vella,1,el Raval,3,1005,1118,1
2019-01-01,1,Ciutat Vella,1,el Raval,3,1005,1360,2
2019-01-01,1,Ciutat Vella,1,el Raval,3,1006,710,1
2019-01-01,1,Ciutat Vella,1,el Raval,3,1006,916,2
2019-01-01,1,Ciutat Vella,1,el Raval,3,1007,789,1
2019-01-01,1,Ciutat Vella,1,el Raval,3,1007,1194,2
2019-01-01,1,Ciutat Vella,1,el Raval,4,1008,1306,1
2019-01-01,1,Ciutat Vella,1,el Raval,4,1008,2012,2
2019-01-01,1,Ciutat Vella,1,el Raval,4,1009,1006,1
2019-01-01,1,Ciutat Vella,1,el Raval,4,1009,1272,2
2019-01-01,1,Ciutat Vella,1,el Raval,4,1010,1076,1
2019-01-01,1,Ciutat Vella,1,el Raval,4,1010,1365,2
2019-01-01,1,Ciutat Vella,1,el Raval,5,1011,1382,1
2019-01-01,1,Ciutat Vella,1,el Raval,5,1011,1827,2
2019-01-01,1,Ciutat Vella,1,el Raval,5,1012,952,1
2019-01-01,1,Ciutat Vella,1,el Raval,5,1012,979,2
2019-01-01,1,Ciutat Vella,1,el Raval,5,1013,738,1
2019-01-01,1,Ciutat Vella,1,el Raval,5,1013,709,2
2019-01-01,1,Ciutat Vella,1,el Raval,6,1014,929,1
2019-01-01,1,Ciutat Vella,1,el Raval,6,1014,1146,2
2019-01-01,1,Ciutat Vella,1,el Raval,6,1015,1149,1
2019-01-01,1,Ciutat Vella,1,el Raval,6,1015,1249,2
2019-01-01,1,Ciutat Vella,1,el Raval,6,1016,1082,1
2019-01-01,1,Ciutat Vella,1,el Raval,6,1016,1166,2
2019-01-01,1,Ciutat Vella,1,el Raval,6,1017,1325,1
2019-01-01,1,Ciutat Vella,1,el Raval,6,1017,1265,2
2019-01-01,1,Ciutat Vella,1,el Raval,7,1018,780,1
2019-01-01,1,Ciutat Vella,1,el Raval,7,1018,825,2
2019-01-01,1,Ciutat Vella,1,el Raval,7,1019,1385,1
2019-01-01,1,Ciutat Vella,1,el Raval,7,1019,1610,2
2019-01-01,1,Ciutat Vella,1,el Raval,7,1020,1126,1
2019-01-01,1,Ciutat Vella,1,el Raval,7,1020,1018,2
