Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G
2019,1,Ciutat Vella,1,el Raval,1,1001,..,1
2019,1,Ciutat Vella,1,el Raval,1,1001,..,2
2019,1,Ciutat Vella,1,el Raval,1,1002,20,1
2019,1,Ciutat Vella,1,el Raval,1,1002,..,3
2019,1,Ciutat Vella,1,el Raval,2,1003,20,1
2019,1,Ciutat Vella,1,el Raval,2,1003,..,3
2019,1,Ciutat Vella,1,el Raval,2,1004,13,1
2019,1,Ciutat Vella,1,el Raval,2,1004,..,3
2019,1,Ciutat Vella,1,el Raval,3,1005,26,1
2019,1,Ciutat Vella,1,el Raval,3,1005,..,2
2019,1,Ciutat Vella,1,el Raval,3,1006,5,1
2019,1,Ciutat Vella,1,el Raval,3,1006,..,3
2019,1,Ciutat Vella,1,el Raval,3,1007,..,1
2019,1,Ciutat Vella,1,el Raval,4,1008,16,1
2019,1,Ciutat Vella,1,el Raval,4,1008,..,2
2019,1,Ciutat Vella,1,el Raval,4,1008,..,3
2019,1,Ciutat Vella,1,el Raval,4,1009,13,1
2019,1,Ciutat Vella,1,el Raval,4,1009,..,3
2019,1,Ciutat Vella,1,el Raval,4,1010,5,1
2019,1,Ciutat Vella,1,el Raval,4,1010,..,3
2019,1,Ciutat Vella,1,el Raval,5,1011,12,1
2019,1,Ciutat Vella,1,el Raval,5,1011,..,2
2019,1,Ciutat Vella,1,el Raval,5,1011,..,3
2019,1,Ciutat Vella,1,el Raval,5,1012,12,1
2019,1,Ciutat Vella,1,el Raval,5,1012,..,2
2019,1,Ciutat Vella,1,el Raval,5,1012,..,3
2019,1,Ciutat Vella,1,el Raval,5,1013,12,1
2019,1,Ciutat Vella,1,el Raval,6,1014,9,1
2019,1,Ciutat Vella,1,el Raval,6,1014,..,2
2019,1,Ciutat Vella,1,el Raval,6,1014,..,3
2019,1,Ciutat Vella,1,el Raval,6,1015,16,1
2019,1,Ciutat Vella,1,el Raval,6,1016,10,1
2019,1,Ciutat Vella,1,el Raval,6,1017,8,1
2019,1,Ciutat Vella,1,el Raval,7,1018,9,1
2019,1,Ciutat Vella,1,el Raval,7,1019,9,1
2019,1,Ciutat Vella,1,el Raval,7,1020,14,1
2019,1,Ciutat Vella,1,el Raval,8,1021,14,1
2019,1,Ciutat Vella,1,el Raval,8,1021,..,2
2019,1,Ciutat Vella,1,el Raval,8,1021,..,3
2019,1,Ciutat Vella,2,el Barri Gòtic,9,1022,5,1
2019,1,Ciutat Vella,2,el Barri Gòtic,9,1023,21,1
2019,1,Ciutat Vella,2,el Barri Gòtic,10,1025,12,1
2019,1,Ciutat Vella,2,el Barri Gòtic,10,1026,17,1
2019,1,Ciutat Vella,2,el Barri Gòtic,10,1026,9,3
2019,1,Ciutat Vella,2,el Barri Gòtic,10,1027,10,1
2019,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,2
