Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Import_€_Any
2017,1,Ciutat Vella,1,el Raval,11407
2017,1,Ciutat Vella,2,el Barri Gòtic,14766
2017,1,Ciutat Vella,3,la Barceloneta,15064
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16461
2017,2,Eixample,5,el Fort Pienc,21495
2017,2,Eixample,6,la Sagrada Família,21465
2017,2,Eixample,7,la Dreta de l'Eixample,28119
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,25944
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,24050
2017,2,Eixample,10,Sant Antoni,21627
2017,3,Sants-Montjuïc,11,el Poble Sec,15082
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,12703
2017,3,Sants-Montjuïc,13,la Marina de Port,16244
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,19147
2017,3,Sants-Montjuïc,15,Hostafrancs,18736
2017,3,Sants-Montjuïc,16,la Bordeta,18996
2017,3,Sants-Montjuïc,17,Sants - Badal,18434
2017,3,Sants-Montjuïc,18,Sants,20268
2017,4,Les Corts,19,les Corts,27393
2017,4,Les Corts,20,la Maternitat i Sant Ramon,24875
2017,4,Les Corts,21,Pedralbes,35710
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",25748
2017,5,Sarrià-Sant Gervasi,23,Sarrià,31906
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,38449
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,33774
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,35409
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,28651
2017,6,Gràcia,28,Vallcarca i els Penitents,24798
2017,6,Gràcia,29,el Coll,19541
2017,6,Gràcia,30,la Salut,23387
2017,6,Gràcia,31,la Vila de Gràcia,21694
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,23771
2017,7,Horta-Guinardó,33,el Baix Guinardó,20371
2017,7,Horta-Guinardó,34,Can Baró,19354
2017,7,Horta-Guinardó,35,el Guinardó,20168
2017,7,Horta-Guinardó,36,la Font d'en Fargues,23886
2017,7,Horta-Guinardó,37,el Carmel,14811
2017,7,Horta-Guinardó,38,la Teixonera,16516
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,17484
2017,7,Horta-Guinardó,40,Montbau,17576
2017,7,Horta-Guinardó,41,la Vall d'Hebron,21613
2017,7,Horta-Guinardó,42,la Clota,19162
2017,7,Horta-Guinardó,43,Horta,18846
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,18415
2017,8,Nou Barris,45,Porta,16368
2017,8,Nou Barris,46,el Turó de la Peira,13658
2017,8,Nou Barris,47,Can Peguera,12507
2017,8,Nou Barris,48,la Guineueta,18477
2017,8,Nou Barris,49,Canyelles,17173
2017,8,Nou Barris,50,les Roquetes,12855
2017,8,Nou Barris,51,Verdun,13742
2017,8,Nou Barris,52,la Prosperitat,15154
2017,8,Nou Barris,53,la Trinitat Nova,11843
2017,8,Nou Barris,54,Torre Baró,11092
2017,8,Nou Barris,55,Ciutat Meridiana,10554
2017,8,Nou Barris,56,Vallbona,11191
2017,9,Sant Andreu,57,la Trinitat Vella,11784
2017,9,Sant Andreu,58,Baró de Viver,11492
2017,9,Sant Andreu,59,el Bon Pastor,14811
2017,9,Sant Andreu,60,Sant Andreu,20478
2017,9,Sant Andreu,61,la Sagrera,19080
2017,9,Sant Andreu,62,el Congrés i els Indians,18907
2017,9,Sant Andreu,63,Navas,19321
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,20076
2017,10,Sant Martí,65,el Clot,19512
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,20237
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,30425
2017,10,Sant Martí,68,el Poblenou,21051
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,23277
2017,10,Sant Martí,70,el Besòs i el Maresme,12433
2017,10,Sant Martí,71,Provençals del Poblenou,19199
2017,10,Sant Martí,72,Sant Martí de Provençals,17766
2017,10,Sant Martí,73,la Verneda i la Pau,16226
